A,B,C,D,E,F,G,H,I,J,K,L,WC,we,negate,compare,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,certain,health,achieve,reward,risk,work,leisure,home,death,swear,netspeak
salesforce,2020-03-01 16:00:13,1234146431235174401,"We took the rolodex...

     　( ´･_･`)
 　     (＼　 )＼
 　 　 ＞   ＞   📇

...and put it in the cloud.

☁️
 　 ＼(´･_･＼)
 　 　(　 　)
 　 　く く","We took the rolodex...

     　( ´･_･`)
 　     (＼　 )＼
 　 　 ＞   ＞   📇

...and put it in the cloud.

☁️
 　 ＼(´･_･＼)
 　 　(　 　)
 　 　く く",,,23,136,,en,,12,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-02 16:00:59,1234509013951356935,Inhale. Exhale. Repeat. You got this.,Inhale. Exhale. Repeat. You got this.,,,69,270,,en,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-03-09 04:13:09,1236867595610943488,"🧐🤓POP QUIZ 
Which technology does NOT enable a hyper-connected supply chain?

#SupplyChain #FutureofWork #Data #AI","🧐🤓POP QUIZ 
Which technology does NOT enable a hyper-connected supply chain?

#SupplyChain #FutureofWork #Data #AI",,,2,18,,en,,16,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-11 15:01:17,1237755481550213121,"Finish this sentence in the comments below:

#Customer360 is ______________.","Finish this sentence in the comments below:

#Customer360 is ______________.",,,5,32,,en,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-18 15:01:07,1240292152346845185,Hear me out: a cloud scented candle.,Hear me out: a cloud scented candle.,,,11,126,,en,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-19 15:00:24,1240654362340478977,"✋
  \(•_•)
   (   (&gt;
   /    \

Raise your hand if you need to hear some restorative words.","✋
  \(•_•)
   (   (&gt;
   /    \

Raise your hand if you need to hear some restorative words.",,,31,259,,en,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-24 15:00:22,1242466291086229504,Breathe. In through your nose. Out through your mouth. Now do that two more times.,Breathe. In through your nose. Out through your mouth. Now do that two more times.,,,28,123,,en,,15,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-27 15:00:30,1243553489399304192,Just checking in ... how's everything going for everybody?,Just checking in ... how's everything going for everybody?,,,24,330,,en,,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-03-31 15:00:47,1245003112030654464,Does this cloud make me look ubiquitous?,Does this cloud make me look ubiquitous?,,,2,55,,en,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-04-02 15:00:38,1245727848268279808,You got this. We're all in this together. 💙,You got this. We're all in this together. 💙,,,47,230,,en,,8,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-04-03 15:00:40,1246090245818454016,"Running out of shows to watch. 👀
What do you recommend?

Asking for #AstroAndFriends","Running out of shows to watch. 👀
What do you recommend?

Asking for #AstroAndFriends",,,5,44,,en,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
GoldmanSachs,2020-04-14 20:30:00,1250159390742786053,REMINDER: $GS earnings will be released tomorrow on this account at 7:25 a.m. ET. Visit us here to read the release.,REMINDER: $GS earnings will be released tomorrow on this account at 7:25 a.m. ET. Visit us here to read the release.,,,10,43,,en,,23,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-04-18 13:30:00,1251503246985891845,"3 Next-Gen Customer Service Tools Driven by #COVID19  

1. #Chatbots  
2. Sentiment analysis tools  
3. AI-guided conversational assistance","3 Next-Gen Customer Service Tools Driven by #COVID19  

1. #Chatbots  
2. Sentiment analysis tools  
3. AI-guided conversational assistance",,,4,23,,en,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0
Cognizant,2020-04-19 17:00:00,1251918484117884930,"When we combine digital technology with food supply-related principles, we’ll minimize the scale and scope of the next pandemic. #COVID19","When we combine digital technology with food supply-related principles, we’ll minimize the scale and scope of the next pandemic. #COVID19",,,6,38,,en,,21,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-04-23 18:40:20,1253393282035380227,"🧐POLL 
When do you think today's ""business as (un)usual"" climate will return to a more normal state? #COVID19","🧐POLL 
When do you think today's ""business as (un)usual"" climate will return to a more normal state? #COVID19",,,15,27,,en,,19,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-04-30 20:59:47,1255965092585197568,"POLL

Which tech usage will increase most, coming out of the #COVID19 pandemic? 🧑‍💻👨‍💻

#IoT #AugmentedReality #VirtualReality #Data","POLL

Which tech usage will increase most, coming out of the #COVID19 pandemic? 🧑‍💻👨‍💻

#IoT #AugmentedReality #VirtualReality #Data",,,4,10,,en,,17,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-04 23:00:01,1257444900095660032,"With #banking already feeling the downstream impact of #COVID19, here’s how they can lead today and plan for the next crisis. #leadership","With #banking already feeling the downstream impact of #COVID19, here’s how they can lead today and plan for the next crisis. #leadership",,,0,17,,en,,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.0,4.55,13.64,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-07 16:30:00,1258433913937997825,Retailers health will require them to get ‘phygital’ — combining the physical and digital customer experience. #COVID19,Retailers health will require them to get ‘phygital’ — combining the physical and digital customer experience. #COVID19,,,3,35,,en,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.25,0.0,18.75,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-11 00:41:23,1259644737339842560,"📉 POLL 
In the new #WFH and virtual-team world, how has your work performance been impacted?

#COVID19 #Interactive","📉 POLL 
In the new #WFH and virtual-team world, how has your work performance been impacted?

#COVID19 #Interactive",,,14,23,,en,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,16.67,5.56,0.0,0.0,0.0,0.0
Cognizant,2020-05-18 18:00:00,1262442831597232131,"3 Next-Gen Customer Service Tools Driven by #COVID19  

1. Chatbots  
2. Sentiment analysis tools  
3. AI-guided conversational assistance","3 Next-Gen Customer Service Tools Driven by #COVID19  

1. Chatbots  
2. Sentiment analysis tools  
3. AI-guided conversational assistance",,,1,15,,en,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0
salesforce,2020-05-20 17:00:19,1263152587169320965,"Together, we can make business as usual, 𝘢𝘯𝘺𝘵𝘩𝘪𝘯𝘨 𝘣𝘶𝘵 𝘶𝘴𝘶𝘢𝘭.","Together, we can make business as usual, 𝘢𝘯𝘺𝘵𝘩𝘪𝘯𝘨 𝘣𝘶𝘵 𝘶𝘴𝘶𝘢𝘭.",,,17,49,,en,,10,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-25 14:00:00,1264919148108414978,"Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.","Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.",,,5,23,,en,,20,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-27 18:00:00,1265704322979028999,"When we combine digital technology with food supply-related principles, we’ll minimize the scale and scope of the next pandemic. #COVID19","When we combine digital technology with food supply-related principles, we’ll minimize the scale and scope of the next pandemic. #COVID19",,,2,20,,en,,21,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-28 03:00:27,1265840330227630081,"⚕️POLL 
As a proxy for medical office visits, how will #telehealth impact general patient health? 

Patient outcomes will…","⚕️POLL 
As a proxy for medical office visits, how will #telehealth impact general patient health? 

Patient outcomes will…",,,3,7,,en,,18,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
salesforce,2020-05-29 15:51:23,1266396728661553152,We won’t keep you waiting any longer...,We won’t keep you waiting any longer...,,,7,84,,en,,7,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-30 00:00:00,1266519694392999936,Retailers health will require them to get ‘phygital’ — combining the physical and digital customer experience. #COVID19,Retailers health will require them to get ‘phygital’ — combining the physical and digital customer experience. #COVID19,,,1,13,,en,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.25,0.0,18.75,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-05-30 20:00:00,1266821684042088448,61% of full-time U.S. employees in the U.S. now work from home — this is the new normal. #FurtureofWork #COVID19,61% of full-time U.S. employees in the U.S. now work from home — this is the new normal. #FurtureofWork #COVID19,,,1,10,,en,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0
Cognizant,2020-06-01 23:23:48,1267597746069835776,Here's your guide to getting – and staying employed in #HR. [REPORT] #FutureofWork,Here's your guide to getting – and staying employed in #HR. [REPORT] #FutureofWork,,,10,34,,en,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-03 20:00:00,1268271236003426304,The #COVID19 crisis is already remodeling the way we work — completely rethinking career structures and how we learn. #FutureofWork,The #COVID19 crisis is already remodeling the way we work — completely rethinking career structures and how we learn. #FutureofWork,,,2,16,,en,,19,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,5.26,0.0,5.26,0.0,5.26,15.79,0.0,5.26,0.0,0.0,0.0
Cognizant,2020-06-05 16:00:00,1268935614356955136,"Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.","Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.",,,2,20,,en,,20,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-07 17:19:12,1269680321651326977,"💡POLL 
Someday, will wearables accurately diagnose an infectious disease?

#AR #Healthcare #COVID19 #TwitterMed","💡POLL 
Someday, will wearables accurately diagnose an infectious disease?

#AR #Healthcare #COVID19 #TwitterMed",,,4,11,,en,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-08 20:00:01,1270083177537769472,"When we combine digital technology with food supply-related principles, we’ll minimize the scale and scope of the next pandemic. #COVID19","When we combine digital technology with food supply-related principles, we’ll minimize the scale and scope of the next pandemic. #COVID19",,,1,3,,en,,21,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-13 13:00:00,1271789419364835330,"Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.","Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.",,,0,4,,en,,20,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-17 14:00:01,1273254071210668033,"If 68% say companies know too much about them, then what kind of personalized experiences should consumers expect? #data #privacy","If 68% say companies know too much about them, then what kind of personalized experiences should consumers expect? #data #privacy",,,0,5,,en,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-18 03:25:53,1273456877569839104,"43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering","43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering",,,4,28,,en,,19,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-22 18:00:00,1275126405106487296,"43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering","43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering",,,1,12,,en,,19,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-25 12:00:01,1276122975461203968,"43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering","43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering",,,0,24,,en,,19,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-26 21:00:00,1276621256310181890,"Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.","Not being able to digitally respond to the #COVID19 #healthcare needs may have translated into 80,000 fewer cancer diagnosis.",,,1,8,,en,,20,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-27 00:30:00,1276674103412289536,#COVID19 has forced a complete re-evaluation of our physical plants — including how we define a functional building. #IoT #smartbuilding,#COVID19 has forced a complete re-evaluation of our physical plants — including how we define a functional building. #IoT #smartbuilding,,,0,11,,en,,20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-28 01:00:00,1277044041947836416,#COVID19 has forced a complete re-evaluation of our physical plants — including how we define a functional building. #IoT #smartbuilding,#COVID19 has forced a complete re-evaluation of our physical plants — including how we define a functional building. #IoT #smartbuilding,,,1,12,,en,,20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-29 00:30:00,1277398879156285441,#COVID19 has forced a complete re-evaluation of our physical plants — including how we define a functional building. #IoT #smartbuilding,#COVID19 has forced a complete re-evaluation of our physical plants — including how we define a functional building. #IoT #smartbuilding,,,4,15,,en,,20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-29 12:00:00,1277572524805505027,"43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering","43% of U.S. employees are already working remotely — so, here’s how to make the model more productive. #COVID19 #softwareengineering",,,0,8,,en,,19,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0
salesforce,2020-06-29 19:15:10,1277682038800175105,"Introducing a CRM platform produces results. In fact, CRM applications have a proven track record of increasing which of the following?","Introducing a CRM platform produces results. In fact, CRM applications have a proven track record of increasing which of the following?",,,9,18,,en,,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-06-29 23:00:00,1277738617532604416,"We’re named a Leader in the @Gartner_inc Magic Quadrant for Public #Cloud Infrastructure Professional and Managed Services, Worldwide 2020.","We’re named a Leader in the @Gartner_inc Magic Quadrant for Public #Cloud Infrastructure Professional and Managed Services, Worldwide 2020.",,,0,8,,en,,20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
